page_spanning_verse,page link
,121B
וַיִּשְׁלַ֣ח יִהוֹשֻֽׁעַ־בִּן נ֠וּן מִֽן־הַשִּׁטִּ֞ים שְׁנַֽיִם־אֲנָשִׁ֤ים מְרַגְּלִים֙ חֶ֣רֶשׁ לֵאמֹ֔ר לְכ֛וּ רְא֥וּ אֶת־הָאָ֖רֶץ וְאֶת־יְרִיח֑וֹ 'אאא' וַיֵּ֨לְכ֜וּ וַ֠יָּבֹאוּ בֵּית־אִשָּׁ֥ה זוֹנָ֛ה וּשְׁמָ֥הּ רָחָ֖ב וַיִּשְׁכְּבוּ־שָֽׁמָּה׃,122A
וַיֵּלְכוּ֙ וַיָּבֹ֣אוּ הָהָ֔רָה וַיֵּ֤שְׁבוּ שָׁם֙ שְׁלֹ֣שֶׁת יָמִ֔ים עַד־שָׁ֖בוּ 'אאא' הָרֹדְפִ֑ים וַיְבַקְשׁ֧וּ הָרֹדְפִ֛ים בְּכָל־הַדֶּ֖רֶךְ וְלֹ֥א מָצָֽאוּ׃,122B
וַיְהִי֙ כַּאֲשֶׁר־תַּ֣מּוּ כָל־הַגּ֔וֹי לַעֲב֖וֹר אֶת־הַיַּרְדֵּ֑ן 'אאא' וַיֹּ֣אמֶר יְהוָ֔ה אֶל־יְהוֹשֻׁ֖עַ לֵאמֹֽר׃,123A
וַיֹּ֛אמֶר אֶל־בְּנֵ֥י יִשְׂרָאֵ֖ל 'אאא' לֵאמֹ֑ר אֲשֶׁר֩ יִשְׁאָל֨וּן בְּנֵיכֶ֤ם מָחָר֙ אֶת־אֲבוֹתָ֣ם לֵאמֹ֔ר מָ֖ה הָאֲבָנִ֥ים הָאֵֽלֶּה׃,123B
וַיֹּאמֶר֩ שַׂר־צְבָ֨א יְהוָ֜ה אֶל־יְהוֹשֻׁ֗עַ שַׁל־נַֽעֲלְךָ֙ מֵעַ֣ל רַגְלֶ֔ךָ כִּ֣י הַמָּק֗וֹם אֲשֶׁ֥ר אַתָּ֛ה עֹמֵ֥ד עָלָ֖יו קֹ֣דֶשׁ 'אאא' ה֑וּא וַיַּ֥עַשׂ יְהוֹשֻׁ֖עַ כֵּֽן׃,124A
וַיָּ֣רַע הָעָ֔ם וַֽיִּתְקְע֖וּ בַּשֹּֽׁפָר֑וֹת וַיְהִי֩ כִשְׁמֹ֨עַ הָעָ֜ם אֶת־ק֣וֹל הַשּׁוֹפָ֗ר וַיָּרִ֤יעוּ הָעָם֙ תְּרוּעָ֣ה גְדוֹלָ֔ה וַתִּפֹּ֨ל הַֽחוֹמָ֜ה תַּחְתֶּ֗יהָ וַיַּ֨עַל הָעָ֤ם הָעִ֙ירָה֙ אִ֣ישׁ נֶגְדּ֔וֹ וַֽיִּלְכְּד֖וּ אֶת־ 'אאא' הָעִֽיר׃,124B
וְלֹ֨א יֻכְל֜וּ בְּנֵ֣י יִשְׂרָאֵ֗ל לָקוּם֙ לִפְנֵ֣י 'אאא' אֹיְבֵיהֶ֔ם עֹ֗רֶף יִפְנוּ֙ לִפְנֵ֣י אֹֽיְבֵיהֶ֔ם כִּ֥י הָי֖וּ לְחֵ֑רֶם לֹ֤א אוֹסִיף֙ לִֽהְי֣וֹת עִמָּכֶ֔ם אִם־לֹ֥א תַשְׁמִ֛ידוּ הַחֵ֖רֶם מִֽקִּרְבְּכֶֽם׃,125A
וַיְצַ֨ו אֹתָ֜ם לֵאמֹ֗ר רְ֠אוּ אַתֶּ֞ם אֹרְבִ֤ים לָעִיר֙ מֵאַחֲרֵ֣י הָעִ֔יר אַל־תַּרְחִ֥יקוּ מִן־הָעִ֖יר מְאֹ֑ד 'אאא' וִהְיִיתֶ֥ם כֻּלְּכֶ֖ם נְכֹנִֽים׃,125B
וִיהוֹשֻׁ֙עַ֙ לֹֽא־הֵשִׁ֣יב יָד֔וֹ אֲשֶׁ֥ר נָטָ֖ה בַּכִּיד֑וֹן עַ֚ד אֲשֶׁ֣ר הֶחֱרִ֔ים 'אאא' אֵ֖ת כָּל־יֹשְׁבֵ֥י הָעָֽי׃,126A
וַיֹּאמְר֣וּ אֵלֵ֡ינוּ זְֽקֵינֵינוּ֩ וְכָל־יֹשְׁבֵ֨י אַרְצֵ֜נוּ לֵאמֹ֗ר קְח֨וּ בְיֶדְכֶ֤ם צֵידָה֙ לַדֶּ֔רֶךְ וּלְכ֖וּ לִקְרָאתָ֑ם וַאֲמַרְתֶּ֤ם אֲלֵיהֶם֙ 'אאא' עַבְדֵיכֶ֣ם אֲנַ֔חְנוּ וְעַתָּ֖ה כִּרְתוּ־לָ֥נוּ בְרִֽית׃,126B
וַיֵּאָסְפ֨וּ וַֽיַּעֲל֜וּ חֲמֵ֣שֶׁת ׀ מַלְכֵ֣י הָאֱמֹרִ֗י מֶ֣לֶךְ יְרוּשָׁלִַ֜ם מֶֽלֶךְ־חֶבְר֤וֹן מֶֽלֶךְ־יַרְמוּת֙ מֶֽלֶךְ־לָכִ֣ישׁ 'אאא' מֶֽלֶךְ־עֶגְל֔וֹן הֵ֖ם וְכָל־מַֽחֲנֵיהֶ֑ם וַֽיַּחֲנוּ֙ עַל־גִּבְע֔וֹן וַיִּֽלָּחֲמ֖וּ עָלֶֽיהָ׃,127A
וַיֹּ֤אמֶר אֲלֵיהֶם֙ 'אאא' יְהוֹשֻׁ֔עַ אַל־תִּֽירְא֖וּ וְאַל־תֵּחָ֑תּוּ חִזְק֣וּ וְאִמְצ֔וּ כִּ֣י כָ֗כָה יַעֲשֶׂ֤ה יְהוָה֙ לְכָל־אֹ֣יְבֵיכֶ֔ם אֲשֶׁ֥ר אַתֶּ֖ם נִלְחָמִ֥ים אוֹתָֽם׃,127B
וְֽאֶל־הַמְּלָכִ֞ים אֲשֶׁ֣ר 'אאא' מִצְּפ֗וֹן בָּהָ֧ר וּבָעֲרָבָ֛ה נֶ֥גֶב כִּֽנֲר֖וֹת וּבַשְּׁפֵלָ֑ה וּבְנָפ֥וֹת דּ֖וֹר מִיָּֽם׃,128A
לֹֽא־נוֹתַ֣ר עֲנָקִ֔ים בְּאֶ֖רֶץ בְּנֵ֣י יִשְׂרָאֵ֑ל 'אאא' רַ֗ק בְּעַזָּ֛ה בְּגַ֥ת וּבְאַשְׁדּ֖וֹד נִשְׁאָֽרוּ׃,128B
מִֽן־הַשִּׁיח֞וֹר אֲשֶׁ֣ר ׀ עַל־פְּנֵ֣י 'אאא' מִצְרַ֗יִם וְעַ֨ד גְּב֤וּל עֶקְרוֹן֙ צָפ֔וֹנָה לַֽכְּנַעֲנִ֖י תֵּחָשֵׁ֑ב חֲמֵ֣שֶׁת ׀ סַרְנֵ֣י פְלִשְׁתִּ֗ים הָעַזָּתִ֤י וְהָאַשְׁדּוֹדִי֙ הָאֶשְׁקְלוֹנִ֣י הַגִּתִּ֔י וְהָעֶקְרוֹנִ֖י וְהָעַוִּֽים׃,129A
וַיִּתֵּ֣ן מֹשֶׁ֔ה לַחֲצִ֖י שֵׁ֣בֶט מְנַשֶּׁ֑ה 'אאא' וַיְהִ֗י לַחֲצִ֛י מַטֵּ֥ה בְנֵֽי־מְנַשֶּׁ֖ה לְמִשְׁפְּחוֹתָֽם׃,129B
,130A
יַרְמוּת֙ 'אאא' וַעֲדֻלָּ֔ם שׂוֹכֹ֖ה וַעֲזֵקָֽה׃,130B
וַ֠יְהִי לִבְנֵ֨י מְנַשֶּׁ֥ה הַנּוֹתָרִים֮ לְמִשְׁפְּחֹתָם֒ לִבְנֵ֨י אֲבִיעֶ֜זֶר וְלִבְנֵי־חֵ֗לֶק וְלִבְנֵ֤י אַשְׂרִיאֵל֙ וְלִבְנֵי־שֶׁ֔כֶם וְלִבְנֵי־חֵ֖פֶר וְלִבְנֵ֣י שְׁמִידָ֑ע אֵ֠לֶּה בְּנֵ֨י מְנַשֶּׁ֧ה בֶֿן־יוֹסֵ֛ף הַזְּכָרִ֖ים 'אאא' לְמִשְׁפְּחֹתָֽם׃,131A
וְאַתֶּ֞ם תִּכְתְּב֤וּ אֶת־הָאָ֙רֶץ֙ שִׁבְעָ֣ה חֲלָקִ֔ים וֽ͏ַהֲבֵאתֶ֥ם אֵלַ֖י 'אאא' הֵ֑נָּה וְיָרִ֨יתִי לָכֶ֤ם גּוֹרָל֙ פֹּ֔ה לִפְנֵ֖י יְהוָ֥ה אֱלֹהֵֽינוּ׃,131B
וּבֵ֥ית לְבָא֖וֹת וְשָֽׁרוּחֶ֑ן עָרִ֥ים שְׁלֹשׁ־ 'אאא' עֶשְׂרֵ֖ה וְחַצְרֵיהֶֽן׃,132A
וְשַֽׁעֲלַבִּ֥ין וְאַיָּל֖וֹן 'אאא' וְיִתְלָֽה׃,132B
וְלִבְנֵ֨י קְהָ֜ת הַנּוֹתָרִ֗ים מִמִּשְׁפְּחֹ֣ת מַטֵּֽה־אֶ֠פְרַיִם וּֽמִמַּטֵּה־דָ֞ן וּמֵחֲצִ֨י מַטֵּ֧ה מְנַשֶּׁ֛ה 'אאא' בַּגּוֹרָ֖ל עָרִ֥ים עָֽשֶׂר׃,133A
